string=4567795649827497e+028  ryuVal=4.5677956498274965E+43  cs=4.5677956498274975E+43
string=11361603594495128e+056  ryuVal=1.1361603594495127E+72  cs=1.1361603594495129E+72
string=4623147662380056e+056  ryuVal=4.62314766238005551E+71  cs=4.62314766238005649E+71
string=8965327068445126e+056  ryuVal=8.96532706844512502E+71  cs=8.96532706844512698E+71
string=3242510530664576e+029  ryuVal=3.2425105306645758E+44  cs=3.2425105306645762E+44
string=2117863370480392e+030  ryuVal=2.11786337048039184E+45  cs=2.11786337048039216E+45
string=14303195906598012e+056  ryuVal=1.4303195906598011E+72  cs=1.4303195906598013E+72
string=17431593891471792e+028  ryuVal=1.7431593891471791E+44  cs=1.7431593891471793E+44
string=10563834875393467e+083  ryuVal=1.05638348753934664E+99  cs=1.05638348753934676E+99
string=10070972241403215e+083  ryuVal=1.00709722414032144E+99  cs=1.00709722414032156E+99
string=5581961065004343e+028  ryuVal=5.5819610650043425E+43  cs=5.5819610650043435E+43
string=7430166049876876e+028  ryuVal=7.4301660498768755E+43  cs=7.4301660498768765E+43
string=10264499854677504e+083  ryuVal=1.02644998546775034E+99  cs=1.02644998546775046E+99
string=7333369881983300e+056  ryuVal=7.33336988198329951E+71  cs=7.33336988198330049E+71
string=16234749205892916e+028  ryuVal=1.6234749205892915E+44  cs=1.6234749205892917E+44
string=12881997914361916e+056  ryuVal=1.2881997914361915E+72  cs=1.2881997914361917E+72
string=10458299048173061e+083  ryuVal=1.04582990481730604E+99  cs=1.04582990481730616E+99
string=10634282620280827e+083  ryuVal=1.06342826202808264E+99  cs=1.06342826202808276E+99
string=2199611947425308e+057  ryuVal=2.1996119474253078E+72  cs=2.1996119474253082E+72
string=3604382734239570e+029  ryuVal=3.6043827342395696E+44  cs=3.6043827342395704E+44
string=2782558375498872e+056  ryuVal=2.78255837549887175E+71  cs=2.78255837549887225E+71
string=2253731308065118e+056  ryuVal=2.25373130806511775E+71  cs=2.25373130806511825E+71
string=1672590780632264e+084  ryuVal=1.67259078063226388E+99  cs=1.67259078063226412E+99
string=11862228959363286e+028  ryuVal=1.1862228959363285E+44  cs=1.1862228959363287E+44
string=9736277558132938e+083  ryuVal=9.73627755813293739E+98  cs=9.73627755813293861E+98
string=9701189475799892e+083  ryuVal=9.70118947579989139E+98  cs=9.70118947579989261E+98
string=6602485874630036e+029  ryuVal=6.6024858746300356E+44  cs=6.6024858746300364E+44
string=6837415501231804e+029  ryuVal=6.8374155012318036E+44  cs=6.8374155012318044E+44
string=9973383039497288e+056  ryuVal=9.97338303949728702E+71  cs=9.97338303949728898E+71
string=2724715852373962e+056  ryuVal=2.72471585237396175E+71  cs=2.72471585237396225E+71
string=14162025270399152e+028  ryuVal=1.4162025270399151E+44  cs=1.4162025270399153E+44
string=1743038525519624e+084  ryuVal=1.74303852551962388E+99  cs=1.74303852551962412E+99
string=2130365332289470e+084  ryuVal=2.13036533228946988E+99  cs=2.13036533228947012E+99
string=8704698669450878e+028  ryuVal=8.7046986694508775E+43  cs=8.7046986694508785E+43
string=15558638929108352e+028  ryuVal=1.5558638929108351E+44  cs=1.5558638929108353E+44
string=2575987364906905e+056  ryuVal=2.57598736490690475E+71  cs=2.57598736490690525E+71
string=9856094681579630e+028  ryuVal=9.85609468157962901E+43  cs=9.85609468157963099E+43
string=17343984546331588e+056  ryuVal=1.7343984546331587E+72  cs=1.7343984546331589E+72
string=1126824442921175e+084  ryuVal=1.12682444292117488E+99  cs=1.12682444292117512E+99
string=7687871345702960e+057  ryuVal=7.68787134570295922E+72  cs=7.68787134570296078E+72
string=4601090478682551e+028  ryuVal=4.6010904786825505E+43  cs=4.6010904786825515E+43
string=2989129386090839e+056  ryuVal=2.98912938609083875E+71  cs=2.98912938609083925E+71
string=2309274074708208e+029  ryuVal=2.3092740747082078E+44  cs=2.3092740747082082E+44
string=10507544574538896e+084  ryuVal=1.0507544574538895E+100  cs=1.0507544574538897E+100
string=6945279894858489e+028  ryuVal=6.9452798948584885E+43  cs=6.9452798948584895E+43
string=3418707750615902e+029  ryuVal=3.4187077506159018E+44  cs=3.4187077506159022E+44
string=11382891942487408e+029  ryuVal=1.13828919424874072E+45  cs=1.13828919424874088E+45
string=7937248757465299e+028  ryuVal=7.9372487574652985E+43  cs=7.9372487574652995E+43
string=10775178110055547e+083  ryuVal=1.07751781100555464E+99  cs=1.07751781100555476E+99
string=10687186324001664e+083  ryuVal=1.06871863240016634E+99  cs=1.06871863240016646E+99
string=5691445971243704e+029  ryuVal=5.6914459712437036E+44  cs=5.6914459712437044E+44
string=8117374602946458e+028  ryuVal=8.1173746029464575E+43  cs=8.1173746029464585E+43
string=6043840411146356e+029  ryuVal=6.0438404111463556E+44  cs=6.0438404111463564E+44
string=5926375597845472e+029  ryuVal=5.9263755978454716E+44  cs=5.9263755978454724E+44
string=2402459795532175e+056  ryuVal=2.40245979553217475E+71  cs=2.40245979553217525E+71
string=13606159028697664e+084  ryuVal=1.3606159028697663E+100  cs=1.3606159028697665E+100
string=3220499478590479e+056  ryuVal=3.22049947859047875E+71  cs=3.22049947859047925E+71
string=3575798976649503e+056  ryuVal=3.57579897664950275E+71  cs=3.57579897664950325E+71
string=17575354638831228e+056  ryuVal=1.7575354638831227E+72  cs=1.7575354638831229E+72
string=2186723528199358e+084  ryuVal=2.18672352819935788E+99  cs=2.18672352819935812E+99
string=1802191367119785e+029  ryuVal=1.8021913671197848E+44  cs=1.8021913671197852E+44
string=1921967836425740e+057  ryuVal=1.9219678364257398E+72  cs=1.9219678364257402E+72
string=8539818508296846e+056  ryuVal=8.53981850829684551E+71  cs=8.53981850829684649E+71
string=2228345115487730e+029  ryuVal=2.2283451154877298E+44  cs=2.2283451154877302E+44
string=1968241854925668e+057  ryuVal=1.9682418549256678E+72  cs=1.9682418549256682E+72
string=15549973627146264e+084  ryuVal=1.5549973627146263E+100  cs=1.5549973627146265E+100
string=10739818447501233e+083  ryuVal=1.07398184475012324E+99  cs=1.07398184475012336E+99
string=5250265321060908e+029  ryuVal=5.2502653210609076E+44  cs=5.2502653210609084E+44
string=1941852732990705e+029  ryuVal=1.9418527329907048E+44  cs=1.9418527329907052E+44
string=6093943818431498e+056  ryuVal=6.09394381843149751E+71  cs=6.09394381843149849E+71
string=15324540843506712e+084  ryuVal=1.5324540843506711E+100  cs=1.5324540843506713E+100
string=8366643531058596e+028  ryuVal=8.3666435310585955E+43  cs=8.3666435310585965E+43
string=5102376565998464e+056  ryuVal=5.10237656599846351E+71  cs=5.10237656599846449E+71
string=3980696638523873e+056  ryuVal=3.98069663852387275E+71  cs=3.98069663852387325E+71
string=3517956453524593e+056  ryuVal=3.51795645352459275E+71  cs=3.51795645352459325E+71
string=17542576654321972e+028  ryuVal=1.7542576654321971E+44  cs=1.7542576654321973E+44
string=14433490751081326e+028  ryuVal=1.4433490751081325E+44  cs=1.4433490751081327E+44
string=4573549498564710e+056  ryuVal=4.57354949856470951E+71  cs=4.57354949856471049E+71
string=15096502511727624e+056  ryuVal=1.5096502511727623E+72  cs=1.5096502511727625E+72
string=9084975393201443e+083  ryuVal=9.08497539320144239E+98  cs=9.08497539320144361E+98
string=5647052866103632e+029  ryuVal=5.6470528661036316E+44  cs=5.6470528661036324E+44
string=10176508068623621e+083  ryuVal=1.01765080686236204E+99  cs=1.01765080686236216E+99
string=15763514752080418e+028  ryuVal=1.5763514752080417E+44  cs=1.5763514752080419E+44
